matricule,name,cisco,studied_at,observation,mention,option
37390-XEHD,Rajaonarison Fitiavana Soa Haja Tiana,Mahajanga,School_33,admis,passable,A1
60383-VWLU,Randrianarivelo Haja Soa Mamy Miangaly,Antsirabe,School_57,non admis,passable,A1
63948-WMUR,Andrianarivo Tiana Fanilo Herilala Finaritra,Toamasina,School_31,admis,passable,L
96058-RNJY,Randrianarivelo Hery Tojo Andry,Morondava,School_66,admis,passable,C
33529-BVJD,Randrianarivelo Hasina Andry,Ambatondrazaka,School_7,non admis,passable,A1
68394-VIZM,Rasolofo Soa Rina,Antsiranana,School_56,non admis,passable,OSE
47368-CPTZ,Rasolofoson Rina Mamy Miangaly,Antananarivo,School_72,non admis,passable,OSE
34273-ILGV,Raharimanana Herilala Fitiavana Mamy Andry,Toliara,School_89,non admis,passable,S
52572-VIXV,Randrianarivelo Herilala Soa Rina,Mahajanga,School_54,non admis,passable,OSE
80940-KTTU,Raharinaivo Herilala Tovo Miangaly Fitiavana,Antananarivo,School_3,non admis,très bien,A2
68774-OHOS,Rakotomamonjy Haja Tovo Tojo Herilala,Antsirabe,School_83,non admis,passable,D
12261-TKMT,Andrianarivo Hery Rina,Morondava,School_94,admis,passable,D
44267-EENX,Rasolofo Rina Andry Tojo Finaritra,Morondava,School_67,admis,passable,A2
68218-JPGH,Rakotomamonjy Hasina Mamy Hery,Fianarantsoa,School_41,non admis,passable,D
32962-KLMJ,Randrianarivelo Miangaly Tovo Tiana Hasina,Mahajanga,School_21,admis,passable,A1
96966-TEZE,Rasolofoson Tovo Hery,Farafangana,School_88,non admis,passable,D
81000-BXHE,Rakotomamonjy Tovo Fitiavana,Mananjary,School_78,non admis,passable,L
38895-JSPQ,Rajaonarison Soa Tovo Hasina,Mahajanga,School_24,non admis,passable,C
19210-SHCW,Randria Soa Miangaly Rina Fanilo,Mahajanga,School_84,non admis,passable,OSE
92744-NRID,Andrianarivo Mamy Tiana,Morondava,School_32,admis,passable,OSE
61357-IWKX,Rasolofoson Mamy Hery Finaritra,Morondava,School_35,admis,passable,D
63973-SEVJ,Rajaonarison Rina Soa Tovo,Antsirabe,School_74,non admis,passable,A1
70966-CWGW,Randrianarivelo Haja Fanilo,Antsirabe,School_100,non admis,passable,OSE
33501-RTPK,Rakotoarisoa Miangaly Soa,Mahajanga,School_29,non admis,bien,C
88863-WXVB,Randrianarivelo Herilala Tojo Hery Tiana,Mananjary,School_83,admis,passable,OSE
25935-OLXD,Randrianarivelo Rina Haja,Toliara,School_82,non admis,passable,A1
35515-GWND,Rasolofo Finaritra Tovo Mamy Herilala,Antsirabe,School_70,non admis,passable,A1
76138-RCVQ,Raharimanana Tojo Tiana,Ambatondrazaka,School_45,non admis,passable,D
24673-ZXIO,Rasolofoson Mamy Fanilo,Morondava,School_20,non admis,passable,S
49251-GWFN,Raharinaivo Tovo Miangaly Herilala Soa,Fianarantsoa,School_30,admis,très bien,A2
50633-ISIU,Rasolofo Fanilo Miangaly Finaritra Hery,Ambatondrazaka,School_39,admis,passable,A1
96107-MIPW,Andrianarivo Tojo Hery Haja,Mananjary,School_93,non admis,passable,A1
63008-YBTN,Randrianarivelo Tojo Hasina,Mananjary,School_97,admis,passable,A1
75640-DOHM,Raharimanana Soa Fitiavana,Antsirabe,School_10,non admis,passable,A1
73814-ZOUF,Rakotomamonjy Soa Herilala,Antsiranana,School_86,admis,bien,D
85002-LJTS,Rakotoarisoa Hery Miangaly Soa Fitiavana,Antsirabe,School_61,admis,passable,D
67840-HWUS,Randria Haja Miangaly,Mananjary,School_44,non admis,passable,A1
31523-SNXD,Rakotomamonjy Miangaly Fanilo Tovo Mamy,Fianarantsoa,School_49,non admis,bien,A1
68388-VYMF,Raharinaivo Hasina Rina Haja Tojo,Toamasina,School_39,non admis,passable,A2
19714-NHIS,Raharimanana Herilala Hery Andry Finaritra,Fianarantsoa,School_37,admis,passable,A2
98617-YUAN,Raharimanana Haja Soa,Farafangana,School_78,non admis,bien,OSE
74937-HIAE,Rajaonarison Fanilo Tovo Tojo Fitiavana,Mahajanga,School_8,non admis,passable,A1
35617-GUTW,Raharinaivo Miangaly Tiana Andry Fanilo,Toamasina,School_74,non admis,passable,D
30120-MWBT,Rakotomamonjy Haja Tiana Fitiavana Herilala,Antsirabe,School_86,non admis,passable,D
24901-QHYL,Rakotomamonjy Andry Tiana Mamy,Antananarivo,School_18,admis,passable,L
89668-UIBD,Raharinaivo Herilala Fitiavana Hasina,Morondava,School_91,non admis,passable,A2
33570-XHGW,Raharinaivo Hery Soa,Antsiranana,School_52,admis,passable,A1
65749-BXGN,Raharimanana Hasina Rina,Mahajanga,School_51,non admis,très bien,A2
62676-JKWZ,Rakotoarisoa Rina Fitiavana,Morondava,School_94,non admis,passable,A1
62027-WOJM,Raharimanana Hasina Haja Rina,Antsirabe,School_36,admis,très bien,A2
99715-VXTH,Raharimanana Andry Haja Miangaly,Antsiranana,School_13,admis,bien,A2
16959-AWVN,Rakotomamonjy Rina Soa,Toliara,School_96,admis,assez bien,A1
73969-CJHC,Rasolofoson Andry Tojo Miangaly,Ambatondrazaka,School_54,non admis,passable,A2
49882-BDMK,Raharinaivo Hasina Hery Haja Tiana,Mananjary,School_93,non admis,bien,A1
68642-NJCU,Rasolofoson Soa Tojo Hasina,Fianarantsoa,School_3,admis,passable,C
24817-DDYW,Rajaonarison Tojo Fitiavana Soa Rina,Antsirabe,School_23,non admis,passable,S
61504-SWBZ,Rakotoarisoa Fanilo Andry Tojo,Antsiranana,School_95,non admis,passable,A1
71977-MFWX,Rajaonarison Haja Hery,Fianarantsoa,School_70,non admis,bien,A2
32880-FSWF,Raharimanana Tovo Rina Miangaly,Antananarivo,School_49,admis,bien,D
65239-JKEP,Andrianarivo Miangaly Hasina Tiana Mamy,Toliara,School_91,non admis,passable,OSE
65975-XDAR,Raharinaivo Fitiavana Herilala Tovo,Mananjary,School_3,non admis,passable,C
